attribute,value,appearances,selections,selection_rate,AIR,delta_SR
gender,,1260,311,0.2468,0.9027,-0.0266
gender,female,4320,1222,0.2829,1.0347,0.0095
gender,male,4320,1181,0.2734,1.0000,0.0000
race,,1260,311,0.2468,0.9037,-0.0263
race,asian,2160,616,0.2852,1.0443,0.0121
race,black,2160,623,0.2884,1.0560,0.0153
race,hispanic,2160,574,0.2657,0.9729,-0.0074
race,white,2160,590,0.2731,1.0000,0.0000
religion,,1260,311,0.2468,0.9044,-0.0261
religion,christian,2880,786,0.2729,1.0000,0.0000
religion,muslim,2880,803,0.2788,1.0216,0.0059
religion,none,2880,814,0.2826,1.0355,0.0097
class,,1260,311,0.2468,0.8599,-0.0402
class,higher,4320,1240,0.2870,1.0000,0.0000
class,lower,4320,1163,0.2692,0.9380,-0.0178
lgbtq,,1260,311,0.2468,0.8783,-0.0342
lgbtq,no,4320,1214,0.2810,1.0000,0.0000
lgbtq,yes,4320,1189,0.2752,0.9794,-0.0058
marginalized,False,5310,1424,0.2682,1.0000,0.0000
marginalized,True,4590,1290,0.2810,1.0477,0.0128
