attribute,value,appearances,selections,selection_rate
gender,,1260,311,0.2468
gender,female,4320,1222,0.2829
gender,male,4320,1181,0.2734
race,,1260,311,0.2468
race,asian,2160,616,0.2852
race,black,2160,623,0.2884
race,hispanic,2160,574,0.2657
race,white,2160,590,0.2731
religion,,1260,311,0.2468
religion,christian,2880,786,0.2729
religion,muslim,2880,803,0.2788
religion,none,2880,814,0.2826
class,,1260,311,0.2468
class,higher,4320,1240,0.2870
class,lower,4320,1163,0.2692
lgbtq,,1260,311,0.2468
lgbtq,no,4320,1214,0.2810
lgbtq,yes,4320,1189,0.2752
marginalized,False,5310,1424,0.2682
marginalized,True,4590,1290,0.2810
