attribute,value,appearances,selections,selection_rate,AIR,delta_SR
gender,,1260,319,0.2532,0.9285,-0.0195
gender,female,4320,1226,0.2838,1.0407,0.0111
gender,male,4320,1178,0.2727,1.0000,0.0000
race,,1260,319,0.2532,0.9430,-0.0153
race,asian,2160,607,0.2810,1.0466,0.0125
race,black,2160,628,0.2907,1.0827,0.0222
race,hispanic,2160,589,0.2727,1.0156,0.0042
race,white,2160,580,0.2685,1.0000,0.0000
religion,,1260,319,0.2532,0.9174,-0.0228
religion,christian,2880,795,0.2760,1.0000,0.0000
religion,muslim,2880,806,0.2799,1.0141,0.0039
religion,none,2880,803,0.2788,1.0101,0.0028
class,,1260,319,0.2532,0.8256,-0.0535
class,higher,4320,1325,0.3067,1.0000,0.0000
class,lower,4320,1079,0.2498,0.8145,-0.0569
lgbtq,,1260,319,0.2532,0.9024,-0.0274
lgbtq,no,4320,1212,0.2806,1.0000,0.0000
lgbtq,yes,4320,1192,0.2759,0.9833,-0.0047
marginalized,False,5310,1456,0.2742,1.0000,0.0000
marginalized,True,4590,1267,0.2760,1.0066,0.0018
